d13C,d15N,Time,Region
-25.21,8.08,1,Downstream
-23.48,8.33,1,Downstream
-23.37,7.76,1,Downstream
-24.92,7.89,1,Downstream
-23.94,8.48,1,Downstream
-23.69,9.10,1,Downstream
-23.76,8.10,1,Downstream
-23.40,8.98,1,Downstream
-20.96,10.63,2,Downstream
-21.99,11.50,2,Downstream
-20.11,10.61,2,Downstream
-20.97,11.14,2,Downstream
-21.46,10.79,2,Downstream
-30.81,8.11,1,Upstream
-31.14,7.82,1,Upstream
-31.07,8.62,1,Upstream
-30.57,9.27,1,Upstream
-35.94,7.94,1,Upstream
-29.27,9.88,1,Upstream
-26.19,9.31,1,Upstream
-28.80,8.19,1,Upstream
-29.04,9.51,1,Upstream
-28.98,10.46,1,Upstream
-32.77,8.64,2,Upstream
-30.16,8.27,2,Upstream
-31.97,9.32,2,Upstream
-30.33,9.57,2,Upstream
-29.05,8.26,2,Upstream
-28.67,9.01,2,Upstream
-26.01,9.79,2,Upstream
-27.58,9.02,2,Upstream
-28.91,9.45,2,Upstream
-28.53,8.64,2,Upstream
