d13C,d15N,Time,Region
-22.73,7.14,1,Downstream
-26.81,5.98,1,Downstream
-24.34,7.78,1,Downstream
-24.37,8.26,1,Downstream
-22.57,5.97,1,Downstream
-21.88,6.26,1,Downstream
-21.86,5.98,1,Downstream
-22.31,5.86,1,Downstream
-23.54,9.86,2,Downstream
-23.07,9.55,2,Downstream
-23.02,9.98,2,Downstream
-23.08,9.07,2,Downstream
-23.18,9.64,2,Downstream
-21.73,9.32,2,Downstream
-20.95,9.27,2,Downstream
-20.45,8.85,2,Downstream
-21.62,9.27,2,Downstream
-20.55,8.98,2,Downstream
-21.88,10.25,3,Downstream
-21.58,9.74,3,Downstream
-21.91,10.76,3,Downstream
-22.93,10.39,3,Downstream
-22.56,10.84,3,Downstream
-20.56,12.49,3,Downstream
-19.54,10.54,3,Downstream
-18.62,11.21,3,Downstream
-21.58,11.03,3,Downstream
-20.57,9.79,3,Downstream
-28.03,7.94,1,Upstream
-27.07,8.65,1,Upstream
-27.5,8.33,1,Upstream
-26.81,8.19,1,Upstream
-26.09,8.72,2,Upstream
-27.38,7.11,2,Upstream
-26.21,8.59,2,Upstream
-26.89,7.54,3,Upstream
-26.88,8.18,3,Upstream
-26.69,7.76,3,Upstream
-27.42,7.46,3,Upstream
-27.31,8.09,3,Upstream
-24.1,7.98,1,Upstream
-23.58,7.87,1,Upstream
-24.23,7.01,2,Upstream
-23.62,7.23,2,Upstream
-24,7.1,2,Upstream
-24.69,7.78,2,Upstream
-24.16,8.05,2,Upstream
-23.59,8.52,3,Upstream
-23.41,8.07,3,Upstream
-23.61,8.1,3,Upstream
-23.14,8.11,3,Upstream
-23.48,7.89,3,Upstream
