d13C,d15N,Time,Region
-30.37,11.45,1,Downstream
-29.75,10.83,1,Downstream
-30.27,11.97,1,Downstream
-30.68,11.53,1,Downstream
-29.86,10.74,1,Downstream
-30.21,10.71,2,Downstream
-31.47,11.68,2,Downstream
-30.02,10.82,2,Downstream
-29.43,10.86,1,Upstream
-26.02,10.93,1,Upstream
-30.11,11.11,1,Upstream
-31.00,11.24,1,Upstream
-30.70,11.52,1,Upstream
-31.49,11.58,2,Upstream
-29.37,10.25,2,Upstream
-30.43,9.72,2,Upstream
-30.81,8.71,2,Upstream
-31.68,10.27,2,Upstream
