Month,Group,d13C,CSD,d15N,NSD
August,Biofilm,-28.74,1.23,2.71,0.91
November,Biofilm,-28.27,1.02,2.51,0.29
August,Leaf Litter,-27.36,0.90,2.82,1.55
November,Leaf Litter,-27.34,0.12,2.52,0.05
August,Brook Trout,-30.18,2.51,8.91,0.90
November,Brook Trout,-29.40,2.00,9.00,0.54
August,Heptageniidae,-28.66,3.68,1.48,0.35
November,Heptageniidae,-28.47,1.69,2.12,0.25
August,Perlidae,-27.39,2.66,3.67,0.37
November,Perlidae,-28.68,2.11,4.37,0.69
