Month,Group,d13C,CSD,d15N,NSD
August,Biofilm,-25.94,0.12,2.24,0.08
November,Biofilm,-24.93,0.78,2.14,0.51
August,Leaf Litter,-27.44,,1.88,
November,Leaf Litter,-27.17,,3.21,
August,Brook Trout,-30.19,0.38,11.30,0.51
November,Brook Trout,-30.57,0.79,11.07,0.53
August,Heptageniidae,-28.73,0.28,1.61,0.14
November,Heptageniidae,-27.81,0.14,1.82,0.42
August,Perlidae,-29.06,1.34,3.46,0.43
November,Perlidae,-27.86,0.24,3.36,0.82
