Month,Group,d13C,CSD,d15N,NSD
August,Biofilm,-27.14,1.73,2.15,0.61
November,Biofilm,-20.42,1.22,3.49,0.29
August,Leaf Litter,-28.12,0.11,2.76,0.32
November,Leaf Litter,-27.81,0.48,2.29,0.34
August,Brook Trout,-23.97,0.71,8.34,0.49
November,Brook Trout,-21.10,0.70,10.93,0.38
August,Heptageniidae,-25.42,1.18,2.41,0.88
November,Heptageniidae,-23.67,0.87,4.14,1.30
August,Perlidae,-25.00,0.90,4.06,1.83
November,Perlidae,-23.12,1.06,6.81,1.29
