Month,Group,d13C,CSD,d15N,NSD
September,Biofilm,-27.60,0.87,2.34,0.88
December,Biofilm,-27.52,1.41,2.91,0.78
September,Leaf Litter,-29.68,0.18,2.38,0.29
December,Leaf Litter,-29.05,1.96,2.20,0.10
September,Brook Trout,-26.31,1.64,6.84,0.76
December,Brook Trout,-25.83,1.36,7.16,0.74
September,Heptageniidae,-30.23,1.38,2.71,0.64
December,Heptageniidae,-28.15,2.58,3.41,0.43
September,Perlidae,-28.28,3.08,4.50,0.27
December,Perlidae,-26.47,0.95,4.95,0.50
