Month,Group,d13C,CSD,d15N,NSD
September,Biofilm,-27.26,0.46,2.33,0.10
December,Biofilm,-29.09,0.88,1.94,0.36
September,Leaf Litter,-29.99,,1.58,
December,Leaf Litter,-31.29,,1.40,
September,Brook Trout,-24.76,0.76,5.60,0.36
December,Brook Trout,-24.53,0.35,5.69,0.45
September,Heptageniidae,-31.18,0.82,3.39,0.71
December,Heptageniidae,-31.08,0.34,1.94,1.10
September,Perlidae,-30.81,1.16,5.96,0.77
December,Perlidae,-31.41,0.76,4.82,0.92
